id;name;images;tags;商品编号：;价格：;品牌：;重量：;评价：;购买数量：;商品总价：;na;产地：;促销价:;剩余时间：;
100;日本悠哈味觉糖-咖啡牛乳糖;http://www.chishenghuo.com/eimages/201409/goods_img/100_P_1411661421175.jpg;日本悠哈味觉糖-咖啡牛乳糖,巧克力,润喉糖,味觉糖,糖果,软糖,巧克力,休闲零食;NI-5313;$2.98;UHA悠哈;80克; (已有0人评论);减少数量 增加数量;;na;;;;
1000;嘉顿芝麻薄饼盒装;http://www.chishenghuo.com/eimages/201410/goods_img/1000_P_1414615147616.jpg;嘉顿芝麻薄饼盒装,饼干,曲奇,威化,饼干,糕点,甜品,休闲零食;YL-9455;$2.59;嘉顿;225克; (已有0人评论);减少数量 增加数量;;na;中华;;;
1001;嘉顿夹心饼干混合8条装;http://www.chishenghuo.com/eimages/201410/goods_img/1001_P_1414614876856.jpg;嘉顿夹心饼干混合8条装,饼干,曲奇,威化,饼干,糕点,甜品,休闲零食;YL-4689;$4.99;嘉顿;0克; (已有0人评论);减少数量 增加数量;;na;;;;
1002;台湾小磨坊 四物汤 3-4人份;http://www.chishenghuo.com/eimages/201410/goods_img/1002_P_1414617443732.jpg;台湾小磨坊,四物汤,3-4人份,五谷杂粮,干货,汤包,海味,调味,养生,休闲零食;YL-1182;$3.59;小磨坊;50克; (已有0人评论);减少数量 增加数量;;na;中华;$2.99;请稍等, 正在载入中...;
1003;台湾小磨坊 四神汤 3-4人份;http://www.chishenghuo.com/eimages/201410/goods_img/1003_P_1414617576381.jpg;台湾小磨坊,四神汤,3-4人份,五谷杂粮,干货,汤包,海味,调味,养生,休闲零食;YL-1199;$3.59;小磨坊;90克; (已有0人评论);减少数量 增加数量;;na;中华;$2.99;请稍等, 正在载入中...;
1004;澳门香香 粒粒杏仁饼礼盒铁盒装;http://www.chishenghuo.com/eimages/201411/goods_img/1004_P_1416425310004.jpg;澳门香香,粒粒杏仁饼礼盒铁盒装,蛋卷,杏仁饼,方块酥,饼干,糕点,甜品,休闲零食;EYM001004;$12.50;香香食品;380克; (已有0人评论);减少数量 增加数量;;na;中华;;;
1005;澳门香香 粒粒杏仁饼铁罐;http://www.chishenghuo.com/eimages/201411/goods_img/1005_P_1416424699323.jpg;澳门香香,粒粒杏仁饼铁罐,蛋卷,杏仁饼,方块酥,饼干,糕点,甜品,休闲零食;EYM001005;$11.50;香香食品;500克; (已有0人评论);减少数量 增加数量;;na;中华;;;
1006;台湾御珍尝 冲绳角切原味黑糖;http://www.chishenghuo.com/eimages/201410/goods_img/1006_P_1414624244420.jpg;台湾御珍尝,冲绳角切原味黑糖,巧克力,润喉糖,味觉糖,糖果,软糖,巧克力,休闲零食;YL-0048;$5.59;ROYAL TASTE御珍尝;180克; (已有0人评论);减少数量 增加数量;;na;中华;;;
1007;台湾御珍尝 冲绳角切姜汁黑糖;http://www.chishenghuo.com/eimages/201410/goods_img/1007_P_1414624339551.jpg;台湾御珍尝,冲绳角切姜汁黑糖,巧克力,润喉糖,味觉糖,糖果,软糖,巧克力,休闲零食;YL-0055;$5.59;ROYAL TASTE御珍尝;180克; (已有0人评论);减少数量 增加数量;;na;中华;;;
1008;力成马标ROXY 洋薏米;http://www.chishenghuo.com/eimages/201410/goods_img/1008_P_1414687149834.jpg;力成马标ROXY,洋薏米,五谷杂粮,干货,汤包,海味,调味,养生,休闲零食;YL-1025;$1.49;ROXY力成马标;227克; (已有0人评论);减少数量 增加数量;;na;中华;;;
1009;随园有机栽种系列 红豆;http://www.chishenghuo.com/eimages/201410/goods_img/1009_P_1414687670731.jpg;随园有机栽种系列,红豆,五谷杂粮,干货,汤包,海味,调味,养生,休闲零食;YL-1102;$5.59;随园;454克; (已有0人评论);减少数量 增加数量;;na;中华;;;
1010;随园有机栽种系列 黄豆 非转基因;http://www.chishenghuo.com/eimages/201410/goods_img/1010_P_1414688049394.jpg;随园有机栽种系列,黄豆,非转基因,五谷杂粮,干货,汤包,海味,调味,养生,休闲零食;YL-1058;$5.59;随园;454克; (已有0人评论);减少数量 增加数量;;na;中华;;;
